route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"ER",3,1,"Hunters Point South",1301,1,13,82
"ER",3,2,"Hunters Point South",1401,1,14,82
"ER",3,3,"Hunters Point South",1501,1,15,82
"ER",3,4,"Hunters Point South",1102,1,11,82
"ER",3,5,"Hunters Point South",1202,1,12,82
"ER",3,6,"Hunters Point South",1303,1,13,82
"ER",3,7,"Hunters Point South",1403,1,14,82
"ER",3,8,"Hunters Point South",1503,1,15,82
"ER",3,9,"Hunters Point South",1104,1,11,82
"ER",3,10,"Hunters Point South",1204,1,12,82
"ER",3,11,"Hunters Point South",1305,1,13,82
"ER",3,12,"Hunters Point South",1405,1,14,82
"ER",3,13,"Hunters Point South",1505,1,15,82
"ER",3,14,"Hunters Point South",1601,1,16,82
"ER",3,15,"Hunters Point South",1106,1,11,82
"ER",3,16,"Hunters Point South",1206,1,12,82
"ER",3,17,"Hunters Point South",1307,1,13,82
"ER",3,18,"Hunters Point South",1407,1,14,82
"ER",3,19,"Hunters Point South",1507,1,15,82
"ER",3,20,"Hunters Point South",1603,1,16,82
"ER",3,21,"Hunters Point South",1108,1,11,82
"ER",3,22,"Hunters Point South",1208,1,12,82
"ER",3,23,"Hunters Point South",1309,1,13,82
"ER",3,24,"Hunters Point South",1409,1,14,82
"ER",3,25,"Hunters Point South",1509,1,15,82
"ER",3,26,"Hunters Point South",1605,1,16,82
"ER",3,27,"Hunters Point South",1110,1,11,82
"ER",3,28,"Hunters Point South",1210,1,12,82
"ER",3,29,"Hunters Point South",1311,1,13,82
"ER",3,30,"Hunters Point South",1411,1,14,82
"ER",3,31,"Hunters Point South",1511,1,15,82
"ER",3,32,"Hunters Point South",1607,1,16,82
"ER",3,33,"Hunters Point South",1112,1,11,82
"ER",3,34,"Hunters Point South",1212,1,12,82
"ER",3,35,"Hunters Point South",1313,1,13,82
"ER",3,36,"Hunters Point South",1413,1,14,82
"ER",3,37,"Hunters Point South",1513,1,15,82
"ER",3,38,"Hunters Point South",1609,1,16,82
"ER",3,39,"Hunters Point South",1114,1,11,82
"ER",3,40,"Hunters Point South",1214,1,12,82
"ER",3,41,"Hunters Point South",1315,1,13,82
"ER",3,42,"Wall St./Pier 11",1101,0,11,81
"RES",2,43,"Rockaway East",10102,1,101,132
"RES",2,44,"Rockaway East",10104,1,101,132
"ER",3,47,"Wall St./Pier 11",1201,0,12,81
"ER",3,48,"Wall St./Pier 11",1302,0,13,81
"ER",3,49,"Wall St./Pier 11",1402,0,14,81
"ER",3,51,"Wall St./Pier 11",1502,0,15,81
"ER",3,53,"Wall St./Pier 11",1103,0,11,81
"ER",3,54,"Wall St./Pier 11",1203,0,12,81
"ER",3,56,"Wall St./Pier 11",1304,0,13,81
"ER",3,57,"Wall St./Pier 11",1404,0,14,81
"ER",3,58,"Wall St./Pier 11",1504,0,15,81
"ER",3,59,"Wall St./Pier 11",1105,0,11,81
"ER",3,60,"Wall St./Pier 11",1205,0,12,81
"ER",3,61,"Wall St./Pier 11",1306,0,13,81
"ER",3,62,"Wall St./Pier 11",1406,0,14,81
"ER",3,63,"Wall St./Pier 11",1506,0,15,81
"ER",3,64,"Wall St./Pier 11",1602,0,16,81
"ER",3,65,"Wall St./Pier 11",1107,0,11,81
"ER",3,66,"Wall St./Pier 11",1207,0,12,81
"ER",3,67,"Wall St./Pier 11",1308,0,13,81
"ER",3,68,"Wall St./Pier 11",1408,0,14,81
"ER",3,69,"Wall St./Pier 11",1508,0,15,81
"ER",3,70,"Wall St./Pier 11",1604,0,16,81
"ER",3,71,"Wall St./Pier 11",1109,0,11,81
"ER",3,72,"Wall St./Pier 11",1209,0,12,81
"ER",3,73,"Wall St./Pier 11",1310,0,13,81
"ER",3,74,"Wall St./Pier 11",1410,0,14,81
"ER",3,75,"Wall St./Pier 11",1510,0,15,81
"ER",3,76,"Wall St./Pier 11",1606,0,16,81
"ER",3,77,"Wall St./Pier 11",1111,0,11,81
"ER",3,78,"Wall St./Pier 11",1211,0,12,81
"ER",3,79,"Wall St./Pier 11",1312,0,13,81
"ER",3,80,"Wall St./Pier 11",1412,0,14,81
"ER",3,81,"Wall St./Pier 11",1512,0,15,81
"ER",3,82,"Wall St./Pier 11",1608,0,16,81
"ER",3,83,"Wall St./Pier 11",1113,0,11,81
"ER",3,84,"Wall St./Pier 11",1213,0,12,81
"ER",3,85,"Wall St./Pier 11",1314,0,13,81
"ER",3,86,"Wall St./Pier 11",1414,0,14,81
"ER",3,87,"Wall St./Pier 11",1514,0,15,81
"ER",3,88,"Wall St./Pier 11",1610,0,16,81
"ER",3,89,"Wall St./Pier 11",1115,0,11,81
"ER",3,90,"Wall St./Pier 11",1215,0,12,81
"ER",3,91,"Wall St./Pier 11",1316,0,13,81
"RW",3,92,"Rockaway",2108,0,21,8
"RW",3,93,"Rockaway",2301,0,23,8
"RW",3,94,"Rockaway",2208,0,22,8
"RW",3,95,"Rockaway",2110,0,21,8
"RW",3,96,"Rockaway",2303,0,23,8
"RW",3,97,"Rockaway",2210,0,22,8
"RWS",1,119,"Rockaway West",20102,1,201,35
"RWS",1,120,"Rockaway West",20104,1,201,35
"RW",3,121,"Rockaway",2112,0,21,8
"RW",3,122,"Rockaway",2305,0,23,8
"RW",3,123,"Rockaway",2212,0,22,8
"RW",3,125,"Rockaway",2114,0,21,8
"RW",3,126,"Rockaway",2307,0,23,8
"RW",3,127,"Rockaway",2214,0,22,8
"RW",3,128,"Wall St./Pier 11",2109,1,21,7
"RW",3,129,"Wall St./Pier 11",2302,1,23,7
"RW",3,132,"Wall St./Pier 11",2209,1,22,7
"RW",3,133,"Wall St./Pier 11",2111,1,21,7
"RW",3,134,"Wall St./Pier 11",2304,1,23,7
"RW",3,135,"Wall St./Pier 11",2211,1,22,7
"RW",3,136,"Wall St./Pier 11",2113,1,21,7
"RW",3,137,"Wall St./Pier 11",2306,1,23,7
"RW",3,139,"Wall St./Pier 11",2213,1,22,7
"RW",3,140,"Wall St./Pier 11",2115,1,21,7
"RW",3,141,"Wall St./Pier 11",2308,1,23,7
"SB",3,142,"Sunset Park/BAT Limited",3301,0,33,117
"SB",3,165,"Sunset Park/BAT Limited",3102,0,31,115
"SB",3,166,"Sunset Park/BAT Limited",3104,0,31,115
"SB",3,167,"Bay Ridge",3305,0,33,106
"SB",3,168,"Bay Ridge",3401,0,34,106
"SB",3,169,"Bay Ridge",3106,0,31,106
"SB",3,170,"Bay Ridge",3210,0,32,106
"SB",3,171,"Bay Ridge",3307,0,33,106
"SB",3,172,"Bay Ridge",3403,0,34,106
"SB",3,173,"Bay Ridge",3108,0,31,106
"SB",3,174,"Bay Ridge",3212,0,32,106
"SB",3,175,"Bay Ridge",3309,0,33,106
"SB",3,176,"Bay Ridge",3405,0,34,106
"SB",3,177,"Bay Ridge",3110,0,31,106
"SB",3,178,"Bay Ridge",3214,0,32,106
"SB",3,179,"Bay Ridge",3311,0,33,106
"SB",3,180,"Bay Ridge",3407,0,34,106
"SB",3,181,"Bay Ridge",3112,0,31,106
"SB",3,182,"Bay Ridge",3216,0,32,106
"SB",3,183,"Bay Ridge",3313,0,33,106
"SB",3,184,"Bay Ridge",3409,0,34,106
"SB",3,185,"Bay Ridge",3114,0,31,106
"SB",3,186,"Bay Ridge",3315,0,33,106
"SB",3,187,"Bay Ridge",3116,0,31,106
"SB",3,188,"Wall St./Pier 11 Limited",3201,1,32,80
"SB",3,189,"Wall St./Pier 11 Limited",3203,1,32,80
